movie_id,title_1M,genres_1M,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,year,clean_title,imdbId,tmdbId,description
14,Nixon (1995),['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,Nixon,113987.0,10858.0,"A biographical story of former U.S. President Richard Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame."
15,Cutthroat Island (1995),"['Action', 'Adventure', 'Romance']",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1995,Cutthroat Island,112760.0,1408.0,A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.
16,Casino (1995),"['Drama', 'Thriller']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1995,Casino,112641.0,524.0,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite."
17,Sense and Sensibility (1995),"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1995,Sense and Sensibility,114388.0,4584.0,"In Georgian era England, wealthy Mr. Dashwood dies leaving his second wife and three daughters destitute. The ladies move to a modest cottage where the two older daughters vie for the attention of various suitors in search of true love."
18,Four Rooms (1995),['Thriller'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1995,Four Rooms,113101.0,5.0,Four interlocking tales that take place in a fading hotel on New Year's Eve.
19,Ace Ventura: When Nature Calls (1995),['Comedy'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,Ace Ventura: When Nature Calls,112281.0,9273.0,"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa."
20,Money Train (1995),['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,Money Train,113845.0,11517.0,"A vengeful New York City transit cop decides to steal a trainload of subway fares. His foster brother, a fellow cop, tries to protect him."
21,Get Shorty (1995),"['Action', 'Comedy', 'Drama']",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,Get Shorty,113161.0,8012.0,A mobster travels from Florida to Hollywood to collect a debt and discovers that the movie business is just as sleazy as the Miami underworld.
22,Copycat (1995),"['Crime', 'Drama', 'Thriller']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1995,Copycat,112722.0,1710.0,A criminal psychologist who turned agoraphobic after a murder attempt agrees to help two San Francisco detectives hunt for a copycat serial killer who intends on making her his next victim.
23,Assassins (1995),['Thriller'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1995,Assassins,112401.0,9691.0,Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.
24,Powder (1995),"['Drama', 'Sci-Fi']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1995,Powder,114168.0,12665.0,An off-the-charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.
25,Leaving Las Vegas (1995),"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1995,Leaving Las Vegas,113627.0,451.0,"Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera."
26,Othello (1995),['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,Othello,114057.0,16420.0,"The Moorish General Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his Lieutenant Michael Cassio, when in reality, it is all part of the scheme of a bitter Ensign named Iago."
27,Now and Then (1995),['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,Now and Then,114011.0,9263.0,Four childhood friends gather together to prepare for the birth of Chrissey's baby. They wonder how the girls they were at twelve years could possibly have become the women they are now.
28,Persuasion (1995),['Romance'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1995,Persuasion,114117.0,17015.0,"Anne, the daughter of a financially troubled aristocratic family, is persuaded to break off her engagement to Frederick, a young sea captain of meager means. Years later, Anne is again thrown into company with Frederick, who is now rich."
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,Shanghai Triad (Yao a yao yao dao waipo qiao),115012.0,37557.0,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.
31,Dangerous Minds (1995),['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,Dangerous Minds,112792.0,9909.0,"LouAnne, a retired US marine, becomes a teacher in a Californian high school. But her mostly Latino and black students from an impoverished and racially segregated locality do not easily embrace her."
33,Wings of Courage (1995),"['Adventure', 'Romance']",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1995,Wings of Courage,114952.0,78802.0,"While flying mail across the Andean mountains, Henri Guillaumet's plane has to crash-land, he must trek back to civilizatin on foot."
34,Babe (1995),"[""Children's"", 'Comedy', 'Drama']",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,Babe,112431.0,9598.0,"Gentle farmer Arthur Hoggett wins a piglet Babe at a county fair. Narrowly escaping his fate as Christmas dinner, Babe bonds with motherly border collie Fly and discovers that he too can herd sheep. But will the other animals accept him?"
35,Carrington (1995),"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1995,Carrington,112637.0,47018.0,The platonic relationship between artist Dora Carrington and writer Lytton Strachey in the early twentieth century.
36,Dead Man Walking (1995),['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,Dead Man Walking,112818.0,687.0,"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families."
37,Across the Sea of Time (1995),['Documentary'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1995,Across the Sea of Time,112286.0,139405.0,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography. The boy follows his relative's traces by counter-checking the old 3D-Photographs of New York (using an antique viewer) with the same places and how they look today. This way, the audience gets to see the Big Apple in former times as well as today.—Julian Reischl <julianreischl@mac.com>"
38,It Takes Two (1995),['Comedy'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,It Takes Two,113442.0,33689.0,"Alyssa and Amanda are two little girls who are identical, but complete strangers, that accidentally meet one day."
39,Clueless (1995),"['Comedy', 'Romance']",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1995,Clueless,112697.0,9603.0,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other."
40,"Cry, the Beloved Country (1995)",['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"Cry, the Beloved Country",112749.0,34615.0,"A South African preacher goes to search for his wayward son, who has committed a crime in the big city."
41,Richard III (1995),"['Drama', 'War']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1995,Richard III,114279.0,31174.0,The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.
42,Dead Presidents (1995),"['Action', 'Crime', 'Drama']",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1995,Dead Presidents,112819.0,11443.0,"A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed."
43,Restoration (1995),['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,Restoration,114272.0,35196.0,"The exiled royal doctor to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman."
44,Mortal Kombat (1995),"['Action', 'Adventure']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,Mortal Kombat,113855.0,9312.0,Three martial artists are forced to battle demonic adversaries in another dimension with the fate of the world hanging in the balance.
45,To Die For (1995),"['Comedy', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,To Die For,114681.0,577.0,A beautiful but naïve aspiring television personality films a documentary on teenagers with a darker ulterior motive.
46,How to Make an American Quilt (1995),"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1995,How to Make an American Quilt,113347.0,11861.0,Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.
48,Pocahontas (1995),"['Animation', ""Children's"", 'Musical', 'Romance']",0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1995,Pocahontas,114148.0,10530.0,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.
49,When Night Is Falling (1995),"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1995,When Night Is Falling,114916.0,8391.0,"An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town."
50,"Usual Suspects, The (1995)","['Crime', 'Thriller']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1995,"Usual Suspects, The",114814.0,629.0,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.
51,Guardian Angel (1994),"['Action', 'Drama', 'Thriller']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1994,Guardian Angel,109950.0,117164.0,"A wealthy playboy hires an attractive woman detective, turned bodyguard, to protect him from a psychotic seductress; the same woman who killed the detective's lover just months before."
52,Mighty Aphrodite (1995),['Comedy'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,Mighty Aphrodite,113819.0,11448.0,"When he discovers that his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother - a ditzy porn star and prostitute."
53,Lamerica (1994),['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1994,Lamerica,110299.0,49133.0,"Immediately after the fall of communism in Albania, two Italians go there to embezzle investment money by creating a fake company. As the chairman/fall guy, they pick a former political prisoner who turns out to be more than meets the eye."
54,"Big Green, The (1995)","[""Children's"", 'Comedy']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,"Big Green, The",112499.0,26441.0,"A teacher on exchange from England is placed in an underachieving Texas school, where she coaches the students in soccer, improving their self-esteem and leading to unexpected success."
55,Georgia (1995),['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,Georgia,113158.0,97406.0,Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Her desperate need to be accepted by her sister is constantly complicated by her drug and alcohol problems.
56,Kids of the Round Table (1995),"['Adventure', ""Children's"", 'Fantasy']",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1995,Kids of the Round Table,113541.0,124057.0,"Eleven-year-old Alex and his fellow homemade heroes are having a backyard blast. Battles rage, knights fight and damsels distress in a cardboard Camelot of dirt-bike steeds, aluminum foil sabres and plastic armor. The summer fun and fantasy soon become a marvelous, mystical reality with the touch of a sword. Malcolm McDowell, Michael Ironside and bright newcomer Johnny Morina star in a modern-day adventure filled with medieval magic. One fateful afternoon, Alex comes across a sword sunk in stone - King Arthur's legendary Excalibur! The sword holds untold powers of strength, magic and wisdom. With one motion, Alex frees the sword, Merlin the Magician appears, and Alex discovers the awesome power he'd always dreamed about. But to misuse Excalibur is to lose Excalibur... as Alex soon discovers. Now with Merlin vanished, Alex must prove himself worthy of the sword to bring back the magic. He'd better act fast - his friends need his power now more than ever!—StarChild"
57,Home for the Holidays (1995),['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,Home for the Holidays,113321.0,9089.0,"After being fired, making out with her soon-to-be ex-boss, and discovering that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces the unenviable task of spending the holiday with her exceedingly dull family."
60,"Indian in the Cupboard, The (1995)","['Adventure', ""Children's"", 'Fantasy']",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1995,"Indian in the Cupboard, The",113419.0,11359.0,"Omri, a young boy growing up in Brooklyn, receives an odd variety of presents for his birthday: a wooden cupboard from his older brother, a set of antique keys from his mother, and a plastic Indian from his best friend, Patrick."
61,Eye for an Eye (1996),"['Drama', 'Thriller']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1996,Eye for an Eye,116260.0,17182.0,"When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice."
62,Mr. Holland's Opus (1995),['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,Mr. Holland's Opus,113862.0,2054.0,A frustrated composer finds fulfillment as a high school music teacher.
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),['Comedy'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,116126.0,10607.0,"A parody of several U.S. films about being in the ""'hood"", for instance Boyz n the Hood (1991), South Central (1992), Menace II Society (1993), Higher Learning (1995), and Juice (1992)."
64,Two if by Sea (1996),"['Comedy', 'Romance']",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1996,Two if by Sea,118002.0,19760.0,"A couple steals a Matisse painting on contract and manage to evade the police. The sale takes place four days later on an island, but things don't go as planned."
65,Bio-Dome (1996),['Comedy'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,Bio-Dome,115683.0,9536.0,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year."
66,Lawnmower Man 2: Beyond Cyberspace (1996),"['Sci-Fi', 'Thriller']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1996,Lawnmower Man 2: Beyond Cyberspace,116839.0,11525.0,"They thought they had destroyed him, but the simple gardener-turned-superkiller has found a way to reboot himself in Lawnmower Man 2: Beyond Cyberspace."
67,Two Bits (1995),['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,Two Bits,114753.0,40628.0,"Gennaro lives with his ailing grandpa, who sits outside holding tight to his last quarter. But grandpa's not ready to die, he has some unfinished business with a woman from his past and he enlists Gennaro to act as his emissary."
68,French Twist (Gazon maudit) (1995),"['Comedy', 'Romance']",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1995,French Twist (Gazon maudit),113149.0,4482.0,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again."
69,Friday (1995),['Comedy'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,Friday,113118.0,10634.0,"It's Friday, and Craig and Smokey must come up with $200 they owe a local bully or there won't be a Saturday."
70,From Dusk Till Dawn (1996),"['Action', 'Comedy', 'Crime', 'Horror', 'Thriller']",1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1996,From Dusk Till Dawn,116367.0,755.0,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results."
71,Fair Game (1995),['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,Fair Game,113010.0,11859.0,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her.—Starlight"
72,Kicking and Screaming (1995),"['Comedy', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,Kicking and Screaming,113537.0,28387.0,"A bunch of guys hang around their college for months after graduation, continuing a life much like the one before graduation."
73,"Misérables, Les (1995)","['Drama', 'Musical']",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1995,"Misérables, Les",113828.0,48750.0,A variation on Victor Hugo's classic novel by means of the story of a man whose life is affected by and somewhat duplicated by the Hugo story of the beleaguered Jean Valjean.
74,Bed of Roses (1996),"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1996,Bed of Roses,115644.0,20927.0,A young career girl is swept off her feet by a shy florist who fell in love with her after one glimpse through a shadowy window.
75,Big Bully (1996),"['Comedy', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1996,Big Bully,115676.0,36929.0,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again."
76,Screamers (1995),"['Sci-Fi', 'Thriller']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1995,Screamers,114367.0,9102.0,"A military commander stationed off planet during an interplanetary war travels through the devastated landscape to negotiate a peace treaty, but discovers that the primitive robots they built to kill enemy combatants have gained sentience."
77,Nico Icon (1995),['Documentary'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1995,Nico Icon,113973.0,124626.0,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same woman, whom, you realize, just couldn't bring herself to care enough to live.—Miguel Cane <Stepford@yahoo.com>"
78,"Crossing Guard, The (1995)",['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"Crossing Guard, The",112744.0,27526.0,Freddy Gale is a seedy jeweller who has sworn to kill the drunk driver who killed his little girl.
79,"Juror, The (1996)","['Drama', 'Thriller']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1996,"Juror, The",116731.0,9623.0,A juror in a Mafia trial is forced by a compulsive mob enforcer to convince the other jurors to vote not guilty.
82,Antonia's Line (Antonia) (1995),['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,Antonia's Line (Antonia),112379.0,880.0,"A Dutch matron establishes and, for several generations, oversees a close-knit, matriarchal community where feminism and liberalism thrive."
83,Once Upon a Time... When We Were Colored (1995),['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,Once Upon a Time... When We Were Colored,114039.0,146599.0,A narrator tells the story of his childhood years in a tightly knit Afro-American community in the deep south under racial segregation.
84,Last Summer in the Hamptons (1995),"['Comedy', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,Last Summer in the Hamptons,113612.0,188588.0,"This moving story was the swan song of actress Viveca Lindfors, who died unexpectedly soon after completing it. It's a fitting tribute, as the film explores the last performance in the ancestral home of a large family of actors."
85,Angels and Insects (1995),"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1995,Angels and Insects,112365.0,8447.0,In the 1800s a naturalist marries into a family of British country gentry.
86,White Squall (1996),"['Adventure', 'Drama']",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996,White Squall,118158.0,10534.0,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.
87,Dunston Checks In (1996),"[""Children's"", 'Comedy']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,Dunston Checks In,116151.0,17414.0,A young boy befriends a larcenous orangutan in a luxury hotel.
88,Black Sheep (1996),['Comedy'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,Black Sheep,115697.0,13997.0,A gubernatorial candidate hires a wormy special assistant whose only job is to make sure the candidate's well-meaning but incompetent brother doesn't ruin the election.
89,Nick of Time (1995),"['Action', 'Thriller']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1995,Nick of Time,113972.0,2086.0,"An unimpressive, everyday man is forced into a situation where he is told to kill a politician to save his kidnapped daughter."
92,Mary Reilly (1996),"['Drama', 'Thriller']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1996,Mary Reilly,117002.0,9095.0,"A housemaid falls in love with Dr. Henry Jekyll and his darkly mysterious counterpart, Mr. Edward Hyde."
93,Vampire in Brooklyn (1995),"['Comedy', 'Romance']",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1995,Vampire in Brooklyn,114825.0,12158.0,A Caribbean vampire seduces a Brooklyn police officer who has no idea that she is half-vampire.
94,Beautiful Girls (1996),['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996,Beautiful Girls,115639.0,9283.0,A piano player at a crossroads in his life returns home to his friends and their own problems with life and love.
95,Broken Arrow (1996),"['Action', 'Thriller']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1996,Broken Arrow,115759.0,9208.0,Terrorists steal nuclear warheads from the U.S. military but don't count on a pilot and park ranger spoiling their plans.
96,In the Bleak Midwinter (1995),['Comedy'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,In the Bleak Midwinter,113403.0,40154.0,"A group of theatre actors plays ""Hamlet"" in a provincial village, faced with their own temptations, disappointments, and joys."
97,"Hate (Haine, La) (1995)",['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"Hate (Haine, La)",113247.0,406.0,24 hours in the lives of three young men in the French suburbs the day after a violent riot.
98,Shopping (1994),"['Action', 'Thriller']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1994,Shopping,111173.0,45549.0,"You've run out of options, no school, no job. Steal a car, smash a shop with a heavy car and reap the proceeds! This movie is about underground England. The causes, the benefits, and the result of a life of 'crash and carry.'"
99,Heidi Fleiss: Hollywood Madam (1995),['Documentary'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1995,Heidi Fleiss: Hollywood Madam,113283.0,63076.0,"A documentary crew from the BBC arrives in L.A. intent on interviewing Heidi Fleiss, a year after her arrest for running a brothel but before her trial. Several months elapse before the interview, so the crew searches for anyone who'll talk about the young woman. Two people have a lot to say to the camera: a retired madam named Alex for whom Fleiss once worked and Fleiss's one-time boyfriend, Ivan Nagy, who introduced her to Alex. Alex and Nagy don't like each other, so the crew shuttles between them with ""she said"" and ""he said."" When they finally interview Fleiss, they spend their time reciting what Alex and Nagy have had to say and asking her reaction.—<jhailey@hotmail.com>"
100,City Hall (1996),"['Drama', 'Thriller']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1996,City Hall,115907.0,11062.0,"The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences."
101,Bottle Rocket (1996),['Comedy'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,Bottle Rocket,115734.0,13685.0,Three friends plan to pull off a simple robbery and go on the run.
102,Mr. Wrong (1996),['Comedy'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,Mr. Wrong,117102.0,47475.0,"A lonely single woman finds the seemingly-perfect man to date, but soon regrets it when his deranged, possessive other personality emerges and she cannot convince anyone else of his Jekyll-and-Hyde true nature."
103,Unforgettable (1996),['Thriller'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1996,Unforgettable,118040.0,2045.0,A Seattle medical examiner uses an experimental memory transference drug to unravel the mystery surrounding his wife's brutal murder.
104,Happy Gilmore (1996),['Comedy'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,Happy Gilmore,116483.0,9614.0,"After his grandmother's house is repossessed by the IRS, a bad tempered hockey player takes his talents to golf to earn the big bucks and get his grandmothers house back."
